0.0000 0 -0.138000 0.303000
0.0000 1 -0.122767 0.303000
0.0000 2 -0.107535 0.303000
0.0000 3 -0.092312 0.303000
0.0000 4 -0.138000 0.318246
0.0000 5 -0.122721 0.318252
0.0000 6 -0.107529 0.318209
0.0000 7 -0.092199 0.318248
0.0000 8 -0.138000 0.333597
0.0000 9 -0.122779 0.333547
0.0000 10 -0.107576 0.333520
0.0000 11 -0.092179 0.333441
0.0000 12 -0.138000 0.348876
0.0000 13 -0.122769 0.348747
0.0000 14 -0.107480 0.348894
0.0000 15 -0.092399 0.348636
0.0050 0 -0.138000 0.302755
0.0050 1 -0.122767 0.302755
0.0050 2 -0.107535 0.302755
0.0050 3 -0.092312 0.302755
0.0050 4 -0.138000 0.318000
0.0050 5 -0.122721 0.318007
0.0050 6 -0.107529 0.317964
0.0050 7 -0.092199 0.318003
0.0050 8 -0.138000 0.333352
0.0050 9 -0.122779 0.333302
0.0050 10 -0.107576 0.333275
0.0050 11 -0.092179 0.333196
0.0050 12 -0.138000 0.348631
0.0050 13 -0.122769 0.348502
0.0050 14 -0.107480 0.348648
0.0050 15 -0.092399 0.348391
0.0100 0 -0.138000 0.302019
0.0100 1 -0.122767 0.302019
0.0100 2 -0.107535 0.302019
0.0100 3 -0.092312 0.302019
0.0100 4 -0.138000 0.317265
0.0100 5 -0.122721 0.317271
0.0100 6 -0.107529 0.317228
0.0100 7 -0.092199 0.317267
0.0100 8 -0.138000 0.332616
0.0100 9 -0.122779 0.332566
0.0100 10 -0.107576 0.332539
0.0100 11 -0.092179 0.332460
0.0100 12 -0.138000 0.347895
0.0100 13 -0.122769 0.347766
0.0100 14 -0.107480 0.347913
0.0100 15 -0.092399 0.347655
0.0150 0 -0.138000 0.300793
0.0150 1 -0.122767 0.300793
0.0150 2 -0.107535 0.300793
0.0150 3 -0.092312 0.300793
0.0150 4 -0.138000 0.316039
0.0150 5 -0.122721 0.316045
0.0150 6 -0.107529 0.316002
0.0150 7 -0.092199 0.316041
0.0150 8 -0.138000 0.331390
0.0150 9 -0.122779 0.331340
0.0150 10 -0.107576 0.331313
0.0150 11 -0.092179 0.331234
0.0150 12 -0.138000 0.346669
0.0150 13 -0.122769 0.346540
0.0150 14 -0.107480 0.346687
0.0150 15 -0.092399 0.346429
0.0200 0 -0.138000 0.299077
0.0200 1 -0.122767 0.299077
0.0200 2 -0.107535 0.299077
0.0200 3 -0.092312 0.299077
0.0200 4 -0.138000 0.314322
0.0200 5 -0.122721 0.314329
0.0200 6 -0.107529 0.314285
0.0200 7 -0.092199 0.314325
0.0200 8 -0.138000 0.329674
0.0200 9 -0.122779 0.329623
0.0200 10 -0.107576 0.329597
0.0200 11 -0.092179 0.329518
0.0200 12 -0.138000 0.344953
0.0200 13 -0.122769 0.344824
0.0200 14 -0.107480 0.344970
0.0200 15 -0.092399 0.344713
