0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
0.174561 1
0.075345 2
0.054445 3
0.001241 4
0.061719 5
0.092954 6
0.103300 7
0.160895 8
0.747032 9
0.025821 10
0.026587 11
0.027558 12
0.028505 13
1.047536 14
