0.000000	0	-137.990000	454.971693
0.000000	1	-137.990000	470.471693
0.062500	0	-137.980000	454.915078
0.062500	1	-137.980000	470.415078
0.125000	0	-137.970000	454.830157
0.125000	1	-137.970000	470.330157
0.187500	0	-137.960000	454.716928
0.187500	1	-137.960000	470.216928
0.250000	0	-137.950000	454.575392
0.250000	1	-137.950000	470.075392
0.312500	0	-137.940000	454.405548
0.312500	1	-137.940000	469.905548
0.375000	0	-137.930000	454.207398
0.375000	1	-137.930000	469.707398
0.437500	0	-137.920000	453.980940
0.437500	1	-137.920000	469.480940
0.500000	0	-137.910000	453.726175
0.500000	1	-137.910000	469.226175
0.562500	0	-137.900000	453.443103
0.562500	1	-137.900000	468.943103
0.625000	0	-137.890000	453.131723
0.625000	1	-137.890000	468.631723
0.687500	0	-137.880000	452.792036
0.687500	1	-137.880000	468.292036
0.750000	0	-137.870000	452.424042
0.750000	1	-137.870000	467.924042
0.812500	0	-137.860000	452.027741
0.812500	1	-137.860000	467.527741
0.875000	0	-137.850000	451.603133
0.875000	1	-137.850000	467.103133
0.937500	0	-137.840000	451.150217
0.937500	1	-137.840000	466.650217
1.000000	0	-137.830000	450.668994
1.000000	1	-137.830000	466.168994
1.062500	0	-137.820000	450.159464
1.062500	1	-137.820000	465.659464
1.125000	0	-137.810000	449.621627
1.125000	1	-137.810000	465.121627
1.187500	0	-137.800000	449.055482
1.187500	1	-137.800000	464.555482
1.250000	0	-137.790000	448.461031
1.250000	1	-137.790000	463.961031
1.312500	0	-137.780000	447.838272
1.312500	1	-137.780000	463.338272
1.375000	0	-137.770000	447.187205
1.375000	1	-137.770000	462.687205
1.437500	0	-137.760000	446.507832
1.437500	1	-137.760000	462.007832
1.500000	0	-137.750000	445.800151
1.500000	1	-137.750000	461.300151
1.562500	0	-137.740000	445.064163
1.562500	1	-137.740000	460.564163
1.625000	0	-137.730000	444.299868
1.625000	1	-137.730000	459.799868
1.687500	0	-137.720000	443.507266
1.687500	1	-137.720000	459.007266
1.750000	0	-137.710000	442.686356
1.750000	1	-137.710000	458.186356
1.812500	0	-137.700000	441.837140
1.812500	1	-137.700000	457.337140
1.875000	0	-137.690000	440.959616
1.875000	1	-137.690000	456.459616
1.937500	0	-137.680000	440.053784
1.937500	1	-137.680000	455.553784
2.000000	0	-137.670000	439.119646
2.000000	1	-137.670000	454.619646
2.062500	0	-137.660000	438.157200
2.062500	1	-137.660000	453.657200
2.125000	0	-137.650000	437.166447
2.125000	1	-137.650000	452.666447
2.187500	0	-137.640000	436.147387
2.187500	1	-137.640000	451.647387
2.250000	0	-137.630000	435.100020
2.250000	1	-137.630000	450.600020
2.312500	0	-137.620000	434.024345
